transaction_id,customer_name,product_name,category,quantity,unit_price,branch,payment_type,card_number,timestamp
5001,John Smith,Google Pixel 10 Pro,Phones,1,999,Camden,Card,56306192.0,10-12-25 09:03
5001,John Smith,Dyson V16 Vacuum,Appliances,2,699,Camden,Card,56306192.0,10-12-25 09:03
5002,Johnny Reed,PlayStation 5 Pro Console,Gaming,2,699,Oxford,Debit,50761638.0,2025/12/10 09:10
5002,Johnny Reed,PlayStation 5 Pro Console,Gaming,2,699,Oxford,Debit,50761638.0,2025/12/10 09:10
5002,Johnny Reed,Dell XPS 14 OLED 2025,Laptops,1,1899,Oxford,Debit,50761638.0,2025/12/10 09:10
5002,Johnny Reed,MacBook Air M4,Laptops,2,1599,Oxford,Debit,50761638.0,2025/12/10 09:10
5003,Mark Davies,Dyson V16 Vacuum,Appliances,1,699,Soho,Card,7638071.0,10/12/2025 09:19
5003,Mark Davies,Samsung Galaxy S25 Ultra,Phones,2,1199,Soho,Card,7638071.0,10/12/2025 09:19
5003,Mark Davies,MacBook Air M4,Laptops,1,1599,Soho,Card,7638071.0,10/12/2025 09:19
5003,Mark Davies,Sony WH‑1000XM7,Audio,2,399,Soho,Card,7638071.0,10/12/2025 09:19
5004,Tom Brown,iPhone 17 Pro Max,Phones,1,1299,SoHo,Cash,,2025/12/10 09:23
5004,Tom Brown,Elgato 4K Streaming Card,Accessories,2,249,SoHo,Cash,,2025/12/10 09:23
5004,Tom Brown,Google Pixel 10 Pro,Phones,1,999,SoHo,Cash,,2025/12/10 09:23
5005,Mark Davies,Dyson V16 Vacuum,Appliances,2,699,Ealing,Cash,,2025-12-10 09:28
5005,Mark Davies,USB‑C 240W Cable,Accessories,2,29,Ealing,Cash,,2025-12-10 09:28
5005,Mark Davies,Samsung QD‑OLED S95D 55-inch,TV,2,1999,Ealing,Cash,,2025-12-10 09:28
5005,Mark Davies,Google Pixel 10 Pro,Phones,2,999,Ealing,Cash,,2025-12-10 09:28
